Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
GTLS,29.69,5562130164,10.06,1.18,11.06,1.89,14.22,3.44%,8895130164,2.14,9.93,5.88,4.30%,14.55,1.34,1.97,0.45,46.50,23.27,6.87%,,,,,0.32%,,0,0.00
ALK,14.45,5463691520,7.52,0.36,3.73,0.62,13.06,7.23%,9352691520,0.80,7.20,3.83,1.96%,29.86,0.47,1.25,1.30,23.68,51.11,3.35%,7.05,,,,0.26%,,,0.38
MMSI,44.74,5370380732,24.44,3.56,24.32,3.84,31.94,2.24%,5788330732,4.27,19.56,20.48,3.21%,28.93,3.96,3.89,2.27,48.09,31.18,3.46%,12.85,,,,-1.73%,,0,0.00
CZR,,5332126950,24.65,0.45,4.96,2.50,13.52,-5.21%,29412126950,2.62,8.34,1.48,1.13%,16.01,0.47,1.28,4.59,,88.32,6.25%,,,,,0.46%,,0,0.00
CROX,6.01,5353367100,7.22,1.26,5.39,1.61,6.74,17.75%,6870985100,1.67,6.31,4.79,13.44%,5.80,1.31,2.92,-31.83,7.23,7.44,17.24%,,,,,3.42%,,0,0.00
FCFS,20.87,5352484506,15.34,1.54,9.91,1.89,14.65,4.84%,6562026506,1.94,6.65,9.64,5.88%,13.88,1.58,2.61,2.28,25.35,17.02,7.20%,140.36,1.27%,7.97%,26.53%,2.05%,1.52,9,0.38
KEX,18.84,5263541470,13.90,1.52,6.96,1.80,15.18,5.45%,6247942470,1.91,9.58,8.13,6.62%,12.72,1.61,1.57,2.63,21.79,15.10,7.86%,1.83,,,,2.88%,,,0.05
TGTX,240.27,5655341355,34.01,9.45,,9.35,112.76,0.41%,5595605355,17.01,112.61,124.63,-0.72%,,17.19,25.43,,239.30,,-0.72%,23.54,,,,-7.96%,,0,0.00
CWEN.A,34.41,5469608897,43.63,3.72,7.73,9.03,36.02,1.41%,13292608897,10.31,11.87,5.15,3.04%,13.54,4.24,2.66,1.41,172.63,32.90,7.39%,,6.47%,7.12%,225.61%,6.47%,1.68,5,0.43
NVMI,31.30,5269819216,28.33,6.08,22.40,5.67,22.74,3.49%,4919349216,7.32,21.05,25.72,4.43%,24.17,7.84,5.68,,26.77,22.56,4.14%,6.21,,,,-0.15%,,0,0.00
ZK,,4963370617,,0.34,11.35,0.38,,-17.69%,5627280112,0.54,,,5.03%,17.54,0.48,,,,19.88,5.70%,,,,,-17.65%,,0,0.00
GPI,10.85,5207050408,9.51,0.23,8.88,0.47,11.45,9.57%,10409850408,0.52,10.18,4.77,5.48%,9.12,0.26,1.75,1.92,20.90,18.23,10.96%,,0.50%,4.95%,5.43%,4.15%,2.00,4,0.50
QFIN,6.67,2753928186,3.27,,2.16,,,31.16%,-2317952872,,,4.78,-54.20%,2.19,1.17,0.83,,,,45.62%,1.67,3.49%,19.63%,22.63%,10.46%,1.28,1,0.69
OLED,23.48,5174131900,22.33,7.59,20.39,6.87,15.33,4.29%,4681461900,7.23,13.39,18.32,4.51%,24.51,7.99,3.20,1.23,21.08,22.18,4.08%,3.40,1.67%,13.79%,38.71%,1.59%,1.80,8,0.45
SLGN,18.57,5120286275,11.39,0.78,7.09,1.29,16.35,5.40%,8434285275,1.44,10.65,5.82,5.44%,11.15,0.87,2.57,1.05,30.52,18.37,8.97%,,1.68%,5.48%,31.01%,1.39%,0.80,10,0.20
BCPC,39.35,5038664576,29.84,4.86,27.69,5.02,28.40,2.55%,5197193576,5.45,22.50,21.71,2.82%,34.35,5.28,4.38,3.75,40.45,35.43,2.91%,24.56,0.56%,10.13%,22.14%,-0.27%,0.87,10,0.87
GH,,4996699185,,5.69,,6.10,,-8.73%,5359345185,7.25,,,-5.13%,,6.76,,,,,-5.50%,,,,,-9.61%,0.00,0,0.00
GKOS,,5071833084,,10.34,,9.90,,-2.89%,4851584084,12.65,,,-1.39%,,13.23,6.61,,,,-1.33%,11.59,,,,-8.92%,,0,0.00
MOG.A,24.38,5053542183,17.90,1.31,522.65,1.57,18.10,4.21%,6083885183,1.66,14.10,10.52,-2.31%,,1.38,2.78,,28.63,,-2.78%,5.39,0.72%,3.67%,17.68%,0.24%,1.16,4,0.29
UMC,11.28,16300738404,9.86,0.06,5.69,0.06,8.70,8.91%,14935383498,2.09,4.69,5.65,1.11%,98.09,2.28,1.41,1.81,10.28,89.87,1.02%,1.47,7.09%,-20.90%,406.24%,6.89%,0.46,0,0.46
PARA,,7803386629,7.87,0.26,10.38,0.70,,-79.32%,20691386629,0.71,,2.51,2.36%,15.96,0.27,0.48,0.58,,42.31,6.27%,2.15,1.83%,,,-0.55%,0.20,0,0.05
CACC,24.77,5938918076,11.79,2.60,5.22,5.01,15.28,4.17%,11446818076,5.29,14.74,,9.95%,5.21,2.75,3.39,1.15,46.18,10.05,19.18%,3.39,,,,4.16%,,0,0.00
TEO,4.46,3584966323,,0.00,4.75,0.00,,27.39%,6130019655,1.53,5.16,6.09,7.11%,8.22,0.89,0.71,1.15,6.24,14.06,12.16%,35.69,2.86%,,63.60%,2.86%,0.29,1,0.29
HR,,5316677100,10.83,4.29,10.60,8.23,,-12.31%,10207377100,8.05,32.47,7.11,13.75%,3.79,4.19,1.02,4.67,,7.27,26.40%,1.18,8.31%,,,11.84%,1.24,0,0.31
EC,3.16,17155943075,0.04,0.00,3.78,0.00,3.88,31.69%,38133271982,1.03,2.93,1.46,-1.67%,,0.46,0.99,0.30,7.01,,-3.72%,1.26,18.96%,-51.63%,1894.58%,18.70%,1.56,0,0.52
LYB,13.19,17698738708,9.35,0.55,4.63,0.84,12.87,7.68%,26878738708,0.67,7.45,4.29,7.37%,8.94,0.44,1.42,1.09,19.76,13.58,11.19%,1.71,9.86%,7.20%,129.09%,9.69%,5.36,1,1.34
ESS,22.93,17075551883,43.62,9.07,15.98,12.56,24.21,4.34%,23653795883,13.33,15.19,15.26,-0.35%,,9.62,3.08,7.73,31.90,,-0.48%,3.19,3.91%,5.76%,89.08%,3.89%,10.28,0,2.57
CLX,38.09,17183773100,19.50,2.38,18.62,2.77,27.68,2.66%,19985773100,2.79,21.13,13.75,3.48%,24.72,2.40,,0.57,43.73,28.76,4.04%,,3.47%,1.24%,133.03%,3.47%,4.88,48,1.22
NTRS,8.92,16971337740,10.34,2.10,,,,11.72%,-12457462260,,,,9.89%,,2.05,1.33,52.48,,,-7.26%,1.90,3.41%,,30.71%,6.25%,3.00,0,0.75
NIO,,7152650813,434.78,0.08,,0.07,,-43.39%,6057216539,0.67,,,-37.83%,,0.79,8.77,,,,-32.03%,9.75,,,,-20.85%,,0,0.00
NNN,18.17,7346488380,19.48,8.13,11.56,12.96,20.16,5.40%,11711229380,13.47,14.10,9.25,1.81%,34.58,8.45,1.68,4.92,29.51,55.12,2.89%,1.69,5.94%,2.67%,107.91%,4.64%,2.32,36,0.58
WPP,11.11,7393855070,5.99,1.06,4.05,1.75,6.91,9.16%,12207267234,0.66,6.91,3.71,13.18%,4.60,0.40,1.64,2.61,18.02,7.59,21.76%,,3.49%,-52.11%,193.10%,5.07%,1.19,3,0.24
AYI,17.93,7308081703,12.61,1.54,14.10,1.71,15.15,5.71%,8102281703,2.05,12.81,10.96,5.61%,16.08,1.85,2.90,1.23,19.43,17.82,6.22%,,0.29%,14.29%,5.16%,-0.67%,0.68,1,0.17
RLI,20.14,6913959334,24.20,3.96,12.34,3.99,16.07,5.00%,6974169334,3.94,15.79,15.49,7.97%,12.45,3.91,4.54,3.82,20.17,12.55,8.03%,4.71,6.63%,431.22%,134.22%,6.23%,5.02,51,0.15
UWMC,33.81,11754575524,11.77,4.31,,8.59,45.82,0.12%,23446422524,10.84,41.83,8.07,-26.79%,,5.43,72.77,,1627.77,,-53.43%,,9.13%,,309.29%,-10.32%,0.40,0,0.10
EDU,18.51,696142910,11.92,0.13,0.71,,,56.24%,-3463258090,,,13.01,-20.21%,0.99,0.14,0.19,0.67,,,100.53%,1.95,1.34%,,25.29%,1.49%,0.58,1,0.58
CFR,12.05,6873406313,11.75,3.07,6.95,0.55,1.76,8.38%,1226896313,0.61,1.58,,70.24%,7.98,3.44,1.76,4.29,2.13,1.42,12.54%,1.83,3.59%,3.86%,42.84%,3.45%,3.80,10,0.95
VNO,824.75,6305584880,257.88,3.37,11.73,7.67,29.68,0.13%,14348600880,8.03,15.06,8.35,0.74%,59.65,3.53,1.22,8.45,1733.97,135.73,1.68%,1.78,2.26%,146.67%,1850.00%,-0.37%,0.74,1,0.74
TIMB,13.74,6995530185,10.47,0.26,3.35,0.33,8.33,7.30%,9087312821,2.21,3.99,4.15,14.50%,5.31,1.70,1.56,0.94,17.81,6.90,18.84%,3.61,5.83%,-34.96%,400.12%,5.83%,0.84,3,0.23
SIRI,,6765216930,6.35,0.78,3.89,1.95,,-24.61%,16978216930,1.95,,2.77,5.97%,6.68,0.78,0.61,0.66,,16.76,14.97%,,2.96%,-23.56%,,9.58%,0.59,0,0.27
VIPS,6.92,35078752082,5.82,0.32,,0.28,22.82,3.02%,31553522880,2.12,,4.89,,,2.36,6.18,32.44,29.76,,,1.82,3.55%,,24.41%,7.71%,0.48,1,0.48
CMA,10.30,6772853668,9.83,1.96,11.27,1.92,7.48,9.91%,6641853668,2.08,6.75,,6.75%,15.12,2.12,1.04,3.07,9.90,14.83,6.61%,1.26,5.52%,,56.57%,5.66%,2.84,0,0.71
BMA,6.29,448770363,3.10,,,,0.07,161.97%,57078386,0.02,0.07,,-231.56%,,0.13,0.24,0.90,0.08,,-29.45%,1.61,7.42%,280.33%,1078.72%,7.49%,5.30,2,1.80
SPXC,30.40,6056451236,20.59,2.75,21.18,2.96,21.73,3.31%,6514251236,3.28,16.64,14.69,3.81%,24.43,3.05,4.37,1.22,32.49,26.28,4.09%,,,,,-1.00%,,,0.09
TFX,87.21,5766886321,8.94,1.83,9.07,2.30,45.62,1.21%,7231723321,2.37,16.70,8.46,7.04%,11.32,1.89,1.35,0.17,103.79,14.20,8.83%,,1.06%,,91.91%,1.51%,1.36,0,0.34
LPX,14.60,5979522222,15.56,1.97,9.88,1.98,10.47,7.02%,6011522222,2.04,8.59,9.09,7.02%,14.17,2.03,3.58,2.74,14.31,14.25,7.06%,3.64,1.30%,8.16%,19.02%,2.68%,1.12,7,0.28
PATH,,5862369580,20.90,3.77,18.29,2.77,,-1.26%,4306643580,3.01,,,7.10%,19.18,4.10,3.18,0.58,,14.09,5.21%,3.35,,,,0.70%,,0,0.00
CHH,19.83,5744752614,17.24,3.54,17.99,4.63,15.56,5.22%,7510855614,4.74,13.57,10.79,2.31%,33.10,3.62,,1.50,25.06,43.28,3.02%,,0.92%,,18.55%,6.73%,1.15,0,0.29
IVZ,10.81,5727822440,6.82,1.23,4.81,2.68,14.71,5.26%,12485022440,2.06,12.14,4.71,8.98%,5.11,0.94,0.39,1.62,41.45,11.14,19.57%,,6.51%,2.50%,69.65%,6.45%,0.82,3,0.21
FCN,20.54,5763405900,20.13,1.53,14.59,1.40,14.72,4.86%,5266054900,1.42,12.98,14.06,6.83%,16.02,1.56,2.55,1.61,18.80,14.64,6.24%,5.58,,,,-1.22%,,0,0.00
MTG,8.04,5633902210,8.08,4.51,7.77,4.84,6.02,13.54%,6043942210,5.00,5.91,5.51,11.98%,7.78,4.66,1.09,1.54,7.92,8.35,12.85%,1.09,2.24%,13.48%,17.99%,10.28%,0.52,6,0.13
TRNO,27.75,5515122165,34.94,12.08,23.70,13.85,30.77,3.33%,6320207165,16.52,22.41,23.67,-11.94%,,14.41,1.51,7.70,34.40,,-13.68%,1.49,3.64%,9.71%,102.08%,-11.31%,1.96,10,0.49
APA,6.39,5275323766,4.37,0.63,1.46,1.27,6.73,15.24%,10694323766,1.10,2.77,0.94,6.63%,7.44,0.54,1.00,0.17,13.30,15.08,13.44%,1.00,6.85%,,44.05%,-7.35%,1.00,0,0.25
CRK,,5399961765,27.66,3.08,8.70,4.81,,-4.05%,8418919765,6.71,13.42,8.61,-5.65%,,4.30,2.41,-0.04,,,-8.81%,2.83,,,,-3.69%,,2,0.13
FSK,8.96,5231632880,7.26,3.26,2.75,7.67,11.72,11.18%,12304632880,7.15,11.72,,15.45%,2.75,3.04,0.79,,21.03,6.47,36.34%,0.79,15.00%,-5.00%,134.05%,14.98%,2.80,0,0.70
SIGI,26.85,5269523135,11.19,1.03,4.79,1.12,19.92,3.75%,5714437135,1.18,17.76,14.87,18.71%,4.93,1.08,1.69,1.86,28.89,5.35,20.29%,1.81,1.77%,12.31%,47.06%,1.43%,1.52,10,0.38
QRVO,196.86,5148031616,10.64,1.41,8.23,1.63,38.04,0.52%,5927829616,1.56,12.78,8.77,8.23%,10.55,1.36,1.52,0.47,219.67,12.15,9.48%,8.43,,,,2.18%,,0,0.00
LDOS,15.11,17856363780,12.69,1.02,12.83,1.27,12.10,7.02%,22204363780,1.33,10.45,8.48,5.61%,14.34,1.07,4.05,2.34,17.71,17.83,6.97%,,1.14%,5.41%,17.35%,4.11%,1.60,6,0.40
PINS,9.84,17898686332,13.97,4.17,18.56,3.62,96.74,10.40%,15537181332,4.26,85.43,75.61,6.05%,19.04,4.91,3.77,0.43,8.34,16.53,5.25%,3.84,,,,-3.52%,,0,0.00
PODD,43.18,17527030038,58.38,7.02,40.73,7.19,52.36,2.39%,17953530038,8.67,42.37,44.98,1.65%,59.15,8.46,14.47,6.27,42.92,60.59,1.69%,16.51,,,,-0.35%,,0,0.00
OKTA,1658.92,16504794165,31.95,5.75,22.01,5.20,292.82,0.17%,14933794165,5.72,107.44,691.18,4.89%,22.61,6.32,2.58,0.35,533.35,20.46,4.42%,21.10,,,,-7.00%,,0,0.00
RBA,47.16,17547809170,25.85,3.98,18.83,4.77,26.83,2.12%,21037309170,4.91,15.21,14.23,3.13%,26.68,4.10,3.36,0.92,56.45,31.99,3.75%,,1.22%,-15.56%,57.71%,-8.92%,1.16,0,0.29
ESLT,55.33,17757363096,39.99,2.39,33.22,2.54,36.89,1.81%,18860992096,2.76,28.16,26.16,1.72%,54.86,2.60,5.42,2.21,58.73,58.27,1.82%,12.21,0.49%,-23.18%,26.73%,0.22%,1.92,0,0.50
VIK,107.83,17206377705,16.75,2.74,8.26,3.23,36.91,0.89%,20289168705,3.80,25.03,13.07,5.74%,14.77,3.23,,,133.19,17.42,6.77%,,,,,-65.23%,,0,0.00
PTC,44.23,17297778240,23.80,6.72,21.59,7.31,32.29,2.27%,18821321240,8.14,26.03,24.96,4.19%,21.94,7.48,5.36,1.49,47.99,23.87,4.56%,,,,,-0.74%,,0,0.00
RF,9.83,17185725700,8.15,2.21,10.75,1.67,5.80,10.32%,12966725700,1.97,5.45,,10.98%,12.07,2.61,0.96,2.33,7.31,9.11,8.29%,1.67,5.26%,7.61%,51.81%,7.51%,1.00,10,0.25
XPEV,,17781430931,,0.26,,0.21,,-4.46%,14510906220,2.59,,,,,3.18,4.16,,,,,5.14,,,,-8.64%,,0,0.00
EME,17.45,17210697011,16.34,1.07,12.22,1.00,11.74,5.85%,16213969011,1.11,10.70,11.54,8.24%,12.87,1.18,5.86,1.32,16.10,12.13,7.77%,13.43,0.27%,26.58%,4.65%,2.48%,1.00,4,0.25
STM,11.29,16746805154,26.67,1.40,5.65,1.13,8.18,9.30%,13515805154,1.02,3.96,4.96,-1.56%,,1.26,0.96,1.84,8.68,,-1.26%,1.01,1.90%,44.38%,21.71%,6.30%,0.36,1,0.09
SNA,16.52,16897402008,16.11,3.46,13.88,3.31,11.59,6.18%,16194402008,3.17,10.83,11.40,7.02%,14.86,3.31,3.13,2.18,15.51,14.24,6.73%,4.15,2.66%,14.94%,43.87%,3.40%,8.56,10,2.14
TS,8.48,16919294198,9.38,1.41,3.86,1.18,3.61,20.84%,14122656198,1.00,3.13,5.53,26.28%,4.56,1.19,0.97,4.69,4.00,3.81,21.93%,1.10,3.55%,-8.33%,60.90%,5.26%,1.10,3,0.56
YUMC,19.47,17011738905,17.11,1.39,11.99,1.40,13.54,5.36%,17159738905,1.52,7.98,10.13,4.16%,23.83,1.51,2.97,0.99,18.84,24.03,4.20%,4.72,1.60%,30.91%,30.90%,8.74%,0.72,2,0.24
NTAP,15.42,17147864930,10.88,2.46,11.88,2.42,11.98,6.63%,16880864930,2.59,9.90,10.46,7.49%,13.56,2.63,17.23,1.09,14.85,13.34,7.38%,,2.53%,4.00%,38.52%,3.95%,2.08,1,0.52
DECK,17.77,16638983620,16.58,3.03,15.28,2.67,12.03,5.66%,14655089620,2.98,11.37,13.57,6.93%,16.39,3.38,6.32,1.13,15.55,14.44,6.10%,6.40,,,,1.60%,,0,0.00
BIIB,10.14,16595997500,7.07,1.78,5.77,2.23,10.94,9.83%,20851297500,2.15,7.90,5.54,12.49%,6.37,1.72,0.99,6.24,12.77,8.01,15.69%,30.40,,,,-0.21%,,,22.23
NTNX,,16431712378,37.33,6.03,22.68,5.93,,-0.34%,16145900378,6.96,215.16,104.22,3.97%,25.61,7.09,,1.67,,25.17,3.90%,,,,,1.74%,,0,0.00
BSBR,15.43,33344637748,6.58,,,,20.97,40.08%,68133329245,0.92,18.35,,-5.40%,,0.45,1.64,0.89,5.10,,-11.02%,1.17,6.17%,-16.00%,95.31%,6.06%,0.28,0,0.05
CASY,30.52,16258493190,28.47,0.92,15.55,1.08,24.73,3.29%,18983626190,1.22,16.42,13.81,2.87%,29.86,1.05,4.76,2.04,35.47,34.87,3.35%,7.47,0.46%,16.28%,13.94%,0.39%,2.00,6,0.50
STEP,,5229982003,22.08,5.02,37.60,5.03,,-2.49%,5231595003,4.53,,,2.59%,38.53,4.53,24.92,,,38.54,2.60%,,2.11%,,,-12.84%,0.96,0,0.24
MOG.B,23.36,5307525100,17.15,1.37,28.64,1.60,19.92,3.58%,6196409100,1.77,15.26,11.06,0.41%,211.09,1.51,3.03,,32.65,246.44,0.47%,5.67,0.76%,3.67%,17.68%,-0.15%,1.16,4,0.29
PJT,26.60,5078854251,22.04,3.09,9.57,3.01,29.73,2.65%,4949497251,3.31,25.36,,10.66%,9.63,3.40,27.16,1.36,36.83,9.38,10.39%,,0.73%,,20.31%,-4.57%,1.00,0,0.25
MTN,20.26,5233513936,18.19,1.70,8.38,2.49,14.48,4.96%,7661673936,2.60,9.41,6.14,5.19%,13.16,1.78,9.86,2.00,29.54,19.27,7.60%,,6.35%,5.71%,128.89%,7.74%,8.88,3,2.22
JXN,6.00,5128827792,3.33,0.70,0.89,0.99,6.67,17.59%,7292827792,2.23,6.67,,79.43%,0.89,1.57,0.53,,8.09,1.26,112.95%,0.55,4.50%,13.28%,27.26%,11.55%,3.20,4,0.80
LNC,1.63,5089967480,3.89,0.26,,0.28,1.25,62.55%,5444967480,0.30,1.25,5.34,-36.86%,,0.28,0.62,1.24,1.71,,-39.43%,0.84,6.04%,,9.78%,5.57%,1.80,0,0.45
CAE,,7064249460,16.14,1.40,12.54,1.88,,-2.11%,9457571087,2.99,35.82,12.34,3.42%,21.81,2.23,2.12,2.45,,29.20,4.58%,13.19,,,,-0.10%,,,0.08
BRX,21.50,7305174800,25.97,5.40,11.69,9.06,22.09,4.64%,12266233800,9.55,13.10,8.69,-0.18%,,5.68,2.45,1.68,36.15,,-0.31%,2.53,4.77%,5.16%,103.60%,4.20%,1.15,4,0.29
NCLH,8.72,7303416925,7.82,0.70,3.56,1.95,13.30,12.46%,20213141925,2.13,8.11,2.97,4.15%,8.71,0.77,5.12,0.38,22.21,24.10,11.49%,9.18,,,,-20.50%,,0,0.00
AES,4.35,7339699310,5.01,0.58,2.67,2.77,10.93,22.88%,35234699310,2.87,7.85,2.23,-13.17%,,0.60,2.01,1.09,20.99,,-63.22%,5.41,6.83%,2.97%,29.82%,0.65%,0.70,10,0.18
ENSG,24.57,7228463874,19.75,1.46,20.82,1.75,22.03,4.12%,8676081874,2.04,18.12,16.19,2.18%,38.26,1.70,3.93,1.32,29.12,45.92,2.61%,4.14,0.20%,4.26%,4.88%,-1.40%,0.25,10,0.06
GPK,11.17,7314516960,9.47,0.83,8.71,1.41,11.05,9.00%,12341516960,1.40,7.37,4.31,-2.94%,,0.83,2.43,1.13,18.76,,-4.96%,20.58,1.83%,2.50%,20.37%,3.76%,0.44,0,0.11
EVR,18.94,6737147957,12.79,1.89,6.82,1.48,10.67,5.61%,5268038957,1.77,9.85,,18.19%,7.03,2.26,3.95,1.13,13.93,5.50,14.22%,4.50,1.81%,5.26%,35.24%,-2.05%,3.20,10,0.80
WBS,9.66,7229045550,7.11,2.78,5.15,3.27,8.38,10.40%,8518072550,3.60,7.61,,16.14%,5.26,3.05,0.79,1.93,11.33,6.19,19.02%,1.28,3.79%,,36.61%,4.15%,1.60,0,0.40
CWST,495.65,7110214200,98.87,3.89,25.27,4.35,95.08,0.19%,7934902200,5.10,24.92,21.29,1.00%,89.43,4.57,4.58,7.52,586.21,99.80,1.12%,30.72,,,,-7.97%,,0,0.00
EXP,15.76,7337252572,14.15,3.05,13.36,3.48,12.80,6.46%,8347853572,3.68,10.34,9.51,4.43%,19.84,3.24,4.90,2.51,17.61,22.58,5.04%,7.28,0.46%,,7.18%,3.73%,1.00,0,0.25
WCC,11.28,7184952296,10.84,0.32,6.52,0.54,9.26,9.19%,12162152296,0.56,8.12,5.03,8.28%,7.14,0.33,1.45,1.18,18.42,12.08,14.01%,,1.23%,10.00%,13.91%,5.29%,1.82,2,0.45
HALO,16.82,7127854100,11.37,5.85,14.88,6.59,13.97,6.23%,8037578100,7.92,12.24,11.37,5.83%,15.22,7.02,19.59,-2.50,18.10,17.16,6.57%,,,,,3.56%,,0,0.00
GAP,8.55,7055712100,8.67,0.46,4.75,0.65,8.12,11.96%,9942712100,0.66,5.77,4.37,10.52%,6.75,0.47,2.16,0.91,11.78,9.51,14.82%,2.36,3.48%,2.50%,30.00%,1.40%,0.66,0,0.17
CFLT,,7087819520,58.38,5.97,211.83,5.30,,-4.87%,6287237520,6.52,,,0.15%,746.95,7.36,7.37,0.52,,662.58,0.13%,8.98,,,,-7.03%,,0,0.00
MIDD,16.66,7059303458,12.90,1.73,10.28,2.14,13.09,6.07%,8764837458,2.26,11.00,8.41,7.30%,11.03,1.82,1.94,1.16,20.46,13.69,9.07%,,,,,-0.23%,,,0.07
MTCH,13.91,7037054900,13.22,2.00,7.54,2.82,11.47,7.83%,9915310900,2.85,10.42,7.14,8.90%,7.98,2.02,,0.35,17.99,11.24,12.54%,,1.35%,,18.80%,8.98%,0.38,1,0.19
FOUR,26.06,5365243152,16.77,1.28,10.72,1.67,,4.28%,7034643152,2.11,24.10,14.44,4.64%,16.44,1.61,6.65,0.70,30.64,21.55,6.08%,,,,,-50.06%,0.00,0,0.00
TEM,,6601970451,,5.49,,5.50,,-11.30%,6620920451,9.55,,,-3.19%,,9.52,117.18,,,,-3.20%,,,,,-89.32%,,0,0.00
XP,10.32,6768102054,8.22,0.35,3.33,1.23,24.60,9.89%,23843701677,9.44,23.52,,8.42%,3.37,2.68,2.01,,35.61,11.87,29.67%,2.41,4.97%,-50.57%,48.84%,7.06%,0.65,0,0.65
OLLI,35.21,6974957625,29.81,2.67,30.67,2.72,26.75,2.86%,7111158625,3.13,22.96,23.74,1.51%,65.00,3.07,4.11,2.08,35.60,66.27,1.54%,6.83,,,,0.48%,,0,0.00
TFII,16.36,6858182500,11.89,0.76,6.45,1.09,13.46,6.16%,9861188500,1.17,7.50,6.20,7.46%,9.33,0.82,2.57,,23.34,13.41,10.72%,137.77,2.21%,13.33%,36.29%,3.80%,1.80,10,0.45
PNFP,15.16,6988534011,11.36,3.35,7.73,2.92,10.47,6.58%,6082808011,3.76,8.95,,13.37%,8.59,4.32,1.09,0.60,13.23,7.48,11.64%,1.60,1.07%,2.27%,16.11%,0.44%,0.96,0,0.24
COOP,10.49,6805914258,7.90,2.50,,6.31,10.27,9.83%,17218914258,7.74,10.01,6.88,-4.43%,,3.06,1.41,,25.74,,-11.20%,,,,,2.85%,,0,0.00
WING,64.51,6660143201,62.90,8.88,42.26,10.11,45.04,1.63%,7588794201,12.13,40.37,36.83,1.45%,60.72,10.64,,3.12,69.80,69.19,1.65%,,0.45%,21.18%,29.19%,2.03%,1.08,1,0.27
ROIV,,6703792855,,91.83,,22.70,,-3.27%,1657598855,16.99,,,-47.02%,,68.72,1.29,,,,-11.63%,1.29,,,,14.42%,0.00,0,0.00
ESAB,26.49,6921244794,21.35,2.55,19.47,2.85,19.03,3.83%,7747625794,2.83,16.35,13.00,3.97%,22.51,2.53,3.91,1.89,29.25,25.20,4.44%,,0.28%,33.33%,7.42%,-0.01%,0.32,3,0.08
MDGL,,6786349470,,11.44,,10.07,,-6.87%,5974668470,33.17,,,-7.73%,,37.67,9.00,,,,-6.81%,9.05,,,,-13.83%,,0,0.00
KNTK,41.97,2610507700,22.43,1.23,4.10,2.89,12.67,9.36%,6138980700,4.14,7.59,13.11,6.10%,6.98,1.76,,8.62,25.14,16.41,14.33%,,7.29%,2.00%,305.88%,66.38%,3.12,2,0.78
NFG,,6663464741,9.80,2.52,6.56,3.60,87.18,-0.16%,9504191741,4.83,16.98,5.45,0.95%,73.73,3.38,2.42,2.05,,105.16,1.36%,2.42,2.79%,4.04%,,3.86%,2.06,55,0.52
ADT,14.89,6120138975,9.36,1.19,3.25,2.65,11.97,8.19%,13623146975,2.78,5.49,2.61,8.79%,5.11,1.25,1.61,,27.19,11.37,19.57%,,2.86%,37.50%,41.31%,3.95%,0.22,1,0.06
OBDC,8.57,6702368290,7.65,3.43,41.83,6.99,12.73,8.88%,13645914290,8.55,12.73,,1.17%,41.83,4.20,1.13,,22.94,85.17,2.39%,1.13,10.16%,-21.76%,87.19%,10.15%,1.33,3,0.06
CVLT,40.09,6731412812,38.68,6.12,31.99,5.91,85.64,2.54%,6499438812,6.89,73.21,74.50,3.18%,32.59,7.13,23.39,2.26,37.96,31.46,3.07%,84.27,,,,-0.86%,,0,0.00
UGI,11.99,6592610970,10.96,,5.37,,13.18,8.34%,13610610970,1.91,8.59,3.54,2.76%,17.53,0.93,1.44,2.65,24.75,36.20,5.70%,4.68,4.85%,,58.77%,4.85%,1.50,38,0.38
TTC,16.93,6593117605,14.83,1.40,10.75,1.62,13.67,6.17%,7646717605,1.67,11.67,9.88,6.67%,12.93,1.44,4.49,1.34,18.80,14.99,7.74%,12.53,2.28%,5.71%,38.75%,5.15%,1.52,4,0.38
AZEK,45.66,6580177600,30.76,4.11,25.87,4.29,30.20,2.22%,6864162600,4.62,19.21,18.19,2.53%,37.84,4.43,4.74,,46.90,39.48,2.64%,24.53,,,,2.35%,,0,0.00
BFAM,48.98,6711588484,28.39,2.29,19.89,2.86,34.04,2.09%,8393862484,3.13,24.36,17.88,2.89%,27.71,2.50,5.25,1.76,59.87,34.66,3.61%,,,,,-0.93%,,0,0.00
ATI,18.07,6498680270,15.60,1.39,15.96,1.64,13.24,5.66%,7672780270,1.76,10.50,9.77,2.55%,33.21,1.49,3.51,1.20,20.86,39.21,3.01%,4.15,,,,-11.81%,,,0.08
AXTA,16.98,6592281460,11.69,1.21,11.44,1.72,13.43,5.93%,9417281460,1.78,9.60,6.65,4.63%,15.12,1.25,3.45,2.02,24.09,21.60,6.61%,,,,,0.92%,,0,0.00
LNW,21.39,6639051180,13.74,1.90,10.50,2.93,14.33,5.06%,10228051180,3.21,9.51,6.36,3.30%,19.64,2.08,10.44,1.42,30.44,30.26,5.09%,,,,,2.15%,0.00,0,0.00
