Symbol,PE Ratio,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,EV/EBIT,Earnings Yield,Ent. Value,EV/Sales,EV/EBITDA,P/EBITDA,FCF / EV,P/FCF,PS Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,P/TBV,Div. Yield,Div. Growth,Payout Ratio,Shareh. Yield,Div. ($),Years,Last Div.
INSM,,11685295440,,24.47,,24.21,,-7.82%,11561413440,31.79,,,-6.10%,,32.13,40.95,,,,-6.04%,98.71,,,,-16.81%,,0,0.00
JKHY,30.77,12452385114,27.56,4.96,23.24,5.01,23.18,3.25%,12576732114,5.53,16.87,21.53,2.42%,40.95,5.48,6.30,2.66,31.04,41.35,2.44%,25.33,1.35%,5.69%,41.80%,1.25%,2.32,35,0.58
DVA,14.30,12272800000,13.89,0.90,6.07,1.72,13.88,7.63%,23408747000,1.83,9.71,4.58,6.27%,8.37,0.96,101.33,2.10,25.00,15.96,11.95%,,,,,6.34%,,0,0.00
CAG,38.26,12237174870,10.45,1.03,6.69,1.70,29.87,2.69%,20332874870,1.73,18.75,5.72,7.14%,8.43,1.04,1.39,0.31,61.78,14.01,11.86%,,5.48%,,206.05%,5.63%,1.40,5,0.35
SOFI,27.00,11573979700,39.18,3.51,,3.65,51.66,4.31%,12055309700,4.51,27.60,,-10.65%,,4.33,1.77,2.13,24.18,,-11.09%,2.52,,,,-16.55%,,0,0.00
ACI,11.99,12384226125,9.52,0.15,4.34,0.32,15.58,8.38%,26392126125,0.33,6.30,3.22,3.59%,13.06,0.15,3.68,6.59,25.44,27.83,7.66%,,2.81%,6.25%,33.70%,2.28%,0.60,0,0.15
EBR,17.26,16143181145,6.97,0.48,11.66,0.70,10.04,6.21%,23434679489,3.07,7.96,4.60,0.79%,87.04,2.12,0.85,,23.38,126.35,1.15%,1.75,3.97%,252.94%,37.82%,-52.91%,0.28,1,0.14
SGI,27.85,12185360440,21.45,1.57,18.28,1.92,23.43,3.15%,14944460440,3.03,18.62,16.07,3.81%,21.41,2.47,21.80,,38.89,26.26,4.67%,,0.26%,,6.94%,-0.26%,0.15,0,0.15
RL,17.72,12027284346,14.27,1.62,9.75,1.69,13.27,5.86%,12548684346,1.81,10.76,10.78,8.43%,11.37,1.73,4.74,1.40,17.81,11.86,8.79%,7.52,1.72%,10.00%,30.22%,5.05%,3.30,4,0.83
FIX,23.18,11942286290,18.47,1.53,14.07,1.50,17.34,4.37%,11672789290,1.66,14.26,13.38,6.37%,16.06,1.70,7.01,2.06,22.34,15.70,6.23%,30.20,0.40%,45.95%,9.25%,0.73%,1.35,10,0.40
CNA,13.56,12897533880,10.12,0.81,5.02,0.97,11.46,7.44%,15398533880,1.08,10.91,9.14,16.08%,5.21,0.90,1.23,4.21,16.06,6.22,19.20%,1.25,7.92%,2.16%,107.39%,7.84%,3.78,1,2.46
GGG,26.92,12764044440,24.96,5.65,20.53,5.36,20.49,3.81%,12129523440,5.74,17.87,19.52,4.25%,24.79,6.04,4.94,2.51,24.95,23.55,4.03%,6.86,1.41%,8.16%,39.01%,1.38%,1.10,10,0.28
AMCR,16.22,12943019700,11.49,0.91,10.34,1.40,14.89,6.17%,19897019700,1.47,10.46,6.78,4.01%,16.24,0.96,3.42,1.61,24.93,24.96,6.16%,,5.67%,2.02%,92.58%,5.68%,0.51,4,0.13
RIVN,,12771182591,,2.34,,1.81,,-37.17%,9891182591,1.99,,,-28.88%,,2.57,1.95,,,,-22.37%,1.96,,,,-6.97%,0.00,0,0.00
ARE,41.06,12795826100,23.03,4.14,8.50,7.92,48.12,2.42%,24480353100,7.86,14.31,6.53,0.22%,239.60,4.11,0.72,844.20,79.08,458.38,0.42%,0.73,7.10%,4.38%,293.50%,6.55%,5.28,10,1.32
BCH,8.24,12836735275,10.10,,7.36,,15.07,12.18%,25821058032,8.06,14.29,,6.66%,7.46,4.01,2.09,4.39,16.52,15.01,13.40%,2.34,8.22%,24.30%,17492.85%,8.22%,2.10,0,2.10
WPC,27.20,12449880480,21.53,7.61,6.79,12.13,25.78,3.70%,19848509480,12.54,15.54,9.50,4.93%,12.72,7.86,1.48,,43.07,20.29,7.86%,2.05,6.19%,-8.01%,168.18%,3.96%,3.52,0,0.89
PPC,11.26,12197555680,9.90,0.67,6.13,0.75,8.61,8.91%,13547092680,0.76,6.75,5.61,11.29%,7.98,0.68,2.88,0.49,12.47,8.86,12.54%,5.56,12.21%,,137.86%,12.00%,6.30,1,6.30
