Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS,PE Ratio,PB Ratio,PEG Ratio,EV/Earnings,EV/FCF,FCF Yield,PS Ratio,P/FCF,Est. EPS,Est. Rev. Growth,Div. Yield,Div. Growth,Div. ($),Years,Last Div.,Div. CAGR 5Y,Rev Gr. Next Q,Rev Gr. Next 5Y,Rev Gr. This Y,Rev Gr. Next Y,Rev Gr. This Q,Revenue,Est. EPS Growth,Assets,Market Cap,Forward PE,Forward PS,P/OCF,Fwd EV/S,Earnings Yield
T,3298000000.0,-0.037000000000000005,-137625000000.0,140923000000.0,0.0,-0.1039,-0.0902,-0.0529,-0.6937000000000001,0.10300000000000001,0.0637,0.037599999999999995,0.027000000000000003,0.0526,871934.0,0.0552,0.0138,76218.0,0.31,8.0,22.14,0.89,27.63,37344479,55.35,68.46,73.66,1.63,16.95,1.9,1.11,31.27,18.16,0.0933,1.61,10.72,0.49,0.010700000000000001,0.04019999999999999,0.0,1.11,0.0,0.28,-0.11630000000000001,0.0365,0.0264,0.0318,0.0139,0.0333,122934000000.0,-0.1091,394795000000.0,198404895200.0,13.07,1.56,5.12,2.65,0.0542
NOW,6597000000.0,0.053099999999999994,4198000000.0,2399000000.0,0.4797,0.0282,0.0554,0.14800000000000002,0.0212,0.163,0.1469,0.0676,0.079,0.12,436200.0,0.0974,0.051399999999999994,58495.0,0.59,6.0,0.0,12.15,957.95,1804523,66.05,53.44,61.53,7.37,129.98,19.56,2.11,126.2,52.73,0.018600000000000002,17.29,53.87,3.84,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.19519999999999998,0.19690000000000002,0.1972,0.1932,0.1968,11469000000.0,0.1261,20972000000.0,198295650000.0,55.34,14.42,43.08,14.12,0.0078000000000000005
SHEL,39110000000.0,0.0,-37968000000.0,77078000000.0,0.0,0.2686,-0.2864,0.395,-0.19399999999999998,0.08800000000000001,0.11470000000000001,0.0643,0.040999999999999995,0.084,0.0,0.0742,0.0366,0.0,0.73,6.0,11.12,2.27,64.8,3930549,47.41,46.82,50.7,5.06,12.77,1.1,2.53,14.52,6.37,0.18760000000000002,0.68,5.33,1.65,0.09179999999999999,0.044199999999999996,0.0746,2.86,3.0,0.72,-0.0241,-0.0067,0.0,-0.0073,-0.0053,0.1027,289029000000.0,-0.3125,387609000000.0,195679057200.0,15.73,0.64,3.58,0.76,0.08220000000000001
HSBC,267674000000.0,0.0,23162000000.0,244512000000.0,0.0,0.056799999999999996,-0.0333,0.0292,0.1189,0.124,0.0,0.0379,0.008,0.08220000000000001,311655.0,0.053899999999999997,0.005,108455.0,0.02,2.0,0.0,0.0,55.13,1581971,53.05,58.05,68.13,6.2,8.88,1.05,2.56,7.49,2.63,0.3353,2.96,2.98,0.0,0.0,0.0596,-0.1949,3.29,4.0,0.5,0.3455,0.0,0.037200000000000004,0.0913,0.018000000000000002,0.0638,65854000000.0,0.0,3017048000000.0,194792908200.0,81.34,0.0,2.98,0.0,0.1176
ACN,8495500000.0,-0.0106,435170000.0,8060330000.0,-0.7787999999999999,0.314,1.5519,0.1877,0.0023,0.268,0.23879999999999998,0.2469,0.134,0.3016,0.0,0.20800000000000002,0.1438,0.0,1.17,5.0,0.0,6.26,300.53,2845925,51.24,36.86,45.41,12.12,24.89,6.47,2.53,24.55,19.36,0.051500000000000004,2.81,19.4,0.0,0.0,0.0197,0.1483,5.92,5.0,1.48,0.19010000000000002,0.0582,0.0739,0.0682,0.0567,0.0622,67221493000.0,0.0,59869756000.0,189084893040.0,22.69,2.65,18.17,2.65,0.0406
AXP,52508000000.0,0.0334,-287000000.0,52795000000.0,0.0,0.0928,0.044000000000000004,-0.012,-0.0015,0.341,0.0,0.1033,0.037000000000000005,0.29,826218.0,0.1223,0.0334,136831.0,0.23,5.0,0.0,0.0,268.54,2473246,54.61,46.81,59.6,14.32,18.84,6.06,1.9,18.42,16.73,0.0599,3.05,16.7,3.47,0.07150000000000001,0.012199999999999999,0.168,3.28,3.0,0.82,0.11689999999999999,0.19210000000000002,0.0968,0.1859,0.0809,0.1877,62049000000.0,0.042,282244000000.0,189025918090.0,16.81,2.56,14.25,2.57,0.054400000000000004
MS,105386000000.0,-0.0187,-205035000000.0,310421000000.0,0.0,0.0848,0.1231,0.08410000000000001,-1.0881,0.125,0.0,0.034,0.01,0.1114,772013.0,0.033,0.009399999999999999,160000.0,0.05,1.0,0.0,0.0,116.76,7740335,54.83,47.93,56.79,7.95,14.7,1.8,136.72,30.74,0.0,-0.0111,3.05,0.0,2.2,0.0947,0.0317,0.0882,3.7,10.0,0.93,0.2145,0.1002,0.032799999999999996,0.0999,0.04019999999999999,0.1149,61761000000.0,0.0891,1215071000000.0,188430433800.0,12.75,2.72,138.35,5.68,0.0679
ISRG,4511300000.0,0.0,4511300000.0,0.0,-0.0602,0.0,0.0,0.0,0.0242,0.155,0.1576,0.1204,0.13699999999999998,0.1368,0.0,0.1277,0.11939999999999999,0.0,0.48,5.0,2.01,57.32,517.18,1671152,56.7,50.22,62.82,6.83,75.9,10.88,3.63,73.35,104.07,0.009399999999999999,21.36,106.65,1.72,0.15810000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.19329999999999997,0.1344,0.1766,0.1545,0.18760000000000002,8714900000.0,0.1467,19220400000.0,186137219940.0,60.65,18.37,68.15,17.93,0.013300000000000001
PEP,8582000000.0,0.0951,-39936000000.0,48518000000.0,0.0,0.066,0.057800000000000004,0.033,-0.2182,0.498,0.1801,0.1568,0.09300000000000001,0.5065999999999999,286906.0,0.1531,0.0894,29373.0,0.91,5.0,7.38,3.56,133.51,6793905,34.73,31.25,29.79,6.8,19.63,9.95,2.32,23.8,28.83,0.042300000000000004,2.0,23.67,1.49,-0.0263,0.0406,0.0711,5.42,53.0,1.36,0.0687,0.015300000000000001,0.042699999999999995,0.0129,0.0355,0.0044,91523000000.0,-0.0745,101737000000.0,183052890800.0,15.76,1.96,14.56,2.39,0.0512
VZ,2257000000.0,-0.0038,-165457000000.0,167714000000.0,0.0,-0.0236,-0.0451,0.038,-0.9063,0.18100000000000002,0.09269999999999999,0.08529999999999999,0.047,0.2234,1358353.0,0.08410000000000001,0.051,178544.0,0.36,7.0,25.41,1.27,43.3,18901958,49.75,53.28,52.1,4.2,10.31,1.81,2.13,19.57,16.77,0.1137,1.35,8.8,1.15,0.0075,0.0626,0.0189,2.71,10.0,0.68,0.0196,0.049400000000000006,0.023700000000000002,0.049100000000000005,0.0196,0.0495,135292000000.0,0.0,380364000000.0,182564058000.0,8.92,1.29,4.85,2.46,0.0974
GS,182092000000.0,-0.016399999999999998,-691396000000.0,873488000000.0,0.0,0.0698,0.0377,0.1109,-4.0061,0.11199999999999999,0.0,0.015600000000000001,0.008,0.1142,0.0,0.0143,0.0086,0.0,0.03,4.0,0.0,0.0,553.83,2528484,57.17,49.54,60.72,40.54,13.69,1.41,6.2,63.88,0.0,-0.0793,3.23,0.0,12.35,0.041299999999999996,0.0217,0.0909,12.0,10.0,3.0,0.19140000000000001,0.16269999999999998,0.032,0.0931,0.0446,0.1174,53512000000.0,0.0665,1675972000000.0,172584794900.0,11.44,2.92,0.0,14.63,0.0784
INTU,3849000000.0,0.0174,-2984000000.0,6833000000.0,0.0,-0.0155,0.0638,0.5786,-0.017,0.166,0.16140000000000002,0.13720000000000002,0.094,0.2238,0.0,0.1259,0.1294,0.0,0.53,8.0,0.0,9.46,623.19,1446871,58.64,53.29,57.26,10.71,58.65,9.79,1.88,58.85,31.74,0.032,10.24,31.21,10.9,0.1222,0.0067,0.1552,4.16,10.0,1.04,0.1431,0.1449,0.1363,0.1495,0.1225,0.1533,17167000000.0,0.1032,31682000000.0,175749446920.0,30.37,8.95,30.31,9.1,0.0173
HDB,24631828779.0,0.0,-70056999508.0,94688828288.0,0.0,1.811,3.1942000000000004,2.0547,-0.38,0.126,0.0,0.0722,0.018000000000000002,0.1568,103682.0,0.0466,0.0192,34824.0,0.05,2.0,0.0,0.0,72.28,1223356,63.72,68.23,60.08,3.18,22.72,2.25,0.97,34.06,22.21,0.0621,8.29,16.1,0.49,0.0,0.0091,-0.48960000000000004,0.66,9.0,0.66,0.20199999999999999,0.0,0.0,-0.2949,0.1472,-0.35240000000000005,22242005999.0,-0.4167,520951475673.0,184367075927.0,16.98,0.0,15.27,0.0,0.0405
RTX,5157000000.0,0.0012,-37789000000.0,42946000000.0,0.0,0.0907,-0.0296,-0.023799999999999998,-0.22390000000000002,0.076,0.0704,0.0268,0.027999999999999997,0.0392,0.0,0.0528,0.0168,0.0,0.5,7.0,5.06,2.11,127.41,4818485,51.74,53.96,62.98,3.41,37.02,2.74,1.34,44.9,37.89,0.0323,2.06,30.96,1.35,0.025099999999999997,0.019799999999999998,0.0678,2.52,10.0,0.63,0.0623,0.0581,0.042199999999999994,0.0535,0.0574,0.0621,81739000000.0,0.0075,164864000000.0,168755200075.0,19.96,1.96,20.78,2.4,0.0273
