Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
LIN,4850000000,-2.87%,-16773000000,21623000000,,15.03%,11.61%,9.15%,-8.24%,17.00%,13.45%,7.76%,8.10%,11.36%,505522,10.84%,5.74%,100553,0.41,7,8.44,3.98,431.88000,4229490,40.94,41.46,53.15,13.62
AZN,5654000000,-4.01%,-24641000000,30295000000,,-0.53%,5.85%,10.70%,-6.17%,17.80%,13.69%,8.47%,6.80%,13.66%,582056,11.40%,4.32%,75727,0.52,6,1.91,4.66,64.87000,9170086,29.80,35.89,45.23,2.25
PEP,9266000000,-1.57%,-35040000000,44306000000,,3.18%,0.46%,6.68%,-17.62%,50.40%,18.87%,15.68%,9.60%,50.66%,287944,16.64%,8.94%,30025,0.92,6,7.85,3.76,144.14000,10973742,43.10,38.76,34.55,6.95
MRK,13689000000,-2.67%,-23422000000,37111000000,,3.88%,5.87%,7.09%,-12.05%,39.20%,23.89%,12.98%,15.10%,27.68%,855573,20.51%,10.10%,228227,0.57,7,2.44,3.65,77.55000,14943153,27.19,28.12,30.51,6.74
NVS,13457000000,-2.36%,-17944000000,31401000000,,0.33%,18.77%,1.37%,-8.77%,28.30%,19.91%,11.18%,12.00%,25.64%,681602,16.87%,11.40%,157361,0.52,6,2.20,,103.40000,4207292,37.72,45.44,50.79,5.87
GE,14601000000,-3.25%,-4672000000,19273000000,,-18.18%,-6.10%,-26.67%,-2.42%,30.30%,9.58%,4.63%,4.90%,11.66%,730226,12.42%,,123698,0.29,6,2.69,2.61,181.51000,7091130,41.98,48.23,63.03,5.99
T,3298000000,-3.70%,-137625000000,140923000000,,-10.39%,-9.02%,-5.29%,-72.86%,10.30%,6.37%,3.76%,2.70%,5.26%,867693,5.52%,1.38%,76218,0.31,7,22.14,0.86,26.39000,44532052,44.24,62.47,67.91,1.49
VZ,4194000000,-3.35%,-164163000000,168357000000,,-1.83%,-3.76%,4.81%,-91.91%,18.10%,9.12%,8.53%,4.60%,22.34%,1353293,8.33%,5.10%,175763,0.35,6,25.14,1.23,42.92000,31429821,45.87,52.67,51.56,4.14
SHEL,39110000000,,-37968000000,77078000000,,26.86%,-28.64%,39.50%,-20.80%,8.80%,11.47%,6.43%,4.10%,8.40%,3010719,7.42%,3.66%,167646,0.73,6,11.12,2.23,59.78000,11789835,31.38,36.52,45.06,5.06
ACN,8495500000,-1.06%,435170000,8060330000,-77.88%,31.40%,155.19%,18.77%,0.25%,26.80%,23.88%,24.69%,13.40%,30.16%,91707,20.80%,14.38%,10482,1.17,5,,6.01,285.22000,4577033,34.26,28.54,43.08,12.12
ISRG,4013300000,,4013300000,,-23.16%,,,,2.29%,15.30%,15.64%,12.04%,13.50%,13.68%,556806667,12.49%,11.94%,154840000,0.48,5,2.01,49.26,489.52000,4036778,46.55,44.22,59.52,6.42
AXP,40640000000,-7.12%,-10449000000,51089000000,,7.68%,3.93%,-4.49%,-6.20%,34.30%,,10.33%,3.70%,29.00%,809108,12.45%,3.34%,134874,0.22,6,,,246.89000,4780650,41.40,37.65,53.47,14.01
