Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
REAL,187123000,-0.31%,-359432000,546555000,,2.35%,-5.34%,,-64.68%,,-64.52%,-43.86%,-32.20%,3.40%,199430,-40.59%,-31.58%,-44571,1.44,5,6.68,-3.25,5.14000,2459428,39.58,42.85,49.57,-1.24
HIPO,232800000,,232800000,,19.32%,,,,40.80%,-11.90%,,-63.38%,-2.70%,-37.00%,778452,-7.57%,-18.34%,-84728,0.24,3,,,22.75000,216562,36.28,45.10,41.49,-1.64
VLRS,789419000,,-2755088000,3544507000,,268.87%,55.83%,,-505.57%,3.30%,6.43%,3.73%,0.20%,-1.38%,472246,6.18%,-0.04%,1133,0.68,6,119.87,0.72,4.70000,1094673,30.60,29.06,38.06,0.07
TCPC,91589702,-3.83%,-1035056649,1126646351,,3.26%,13.16%,4.41%,-179.84%,-7.30%,,8.24%,-3.00%,4.64%,,,2.04%,,0.12,5,,,6.70000,880418,30.82,29.62,33.14,-0.79
LEGH,45694000,-61.49%,44298000,1396000,529.77%,-44.10%,-94.54%,-46.16%,7.96%,13.10%,15.30%,13.18%,11.90%,15.60%,310086,10.41%,13.04%,103774,0.35,4,2.50,10.17,23.59000,111330,39.70,42.16,50.34,2.48
CCBG,391854000,-9.86%,309869000,81985000,38.63%,-2.45%,-7.41%,3.07%,54.50%,11.30%,,8.44%,1.20%,10.40%,245620,8.99%,0.98%,56293,0.05,4,,,33.34000,21351,41.38,44.99,53.93,3.12
SMWB,74441000,-3.23%,34709000,39732000,142.25%,,-41.07%,18.71%,6.11%,-47.60%,-14.50%,-40.34%,-5.00%,-124.72%,230335,-14.37%,-22.96%,-10559,1.10,4,,0.20,6.86000,246346,29.76,32.53,43.56,-0.14
KIND,426979000,-4.67%,386233000,40746000,-16.85%,-15.99%,-38.81%,,69.19%,-20.40%,-20.03%,-11.12%,-17.80%,-99.94%,452886,-24.61%,-22.86%,-179603,0.45,4,,4.07,1.47000,1334337,33.10,29.56,32.85,-0.25
TREE,106594000,-0.90%,-431699000,538293000,,-10.08%,-10.84%,8.33%,-76.22%,-34.70%,-1.81%,-0.35%,-5.10%,-33.76%,971110,,-6.36%,-44988,1.10,6,,0.04,42.29000,225470,40.32,45.37,45.03,-3.14
SEAT,244648000,0.53%,-162993000,407641000,,-3.96%,43.14%,-7.82%,-45.33%,4.30%,3.39%,-33.38%,0.60%,,1009878,3.34%,,12272,0.48,5,9.94,-0.09,2.71000,1002628,39.16,32.83,33.52,0.06
ORC,335053000,-3.93%,-4690490000,5025543000,,-6.98%,35.62%,7.83%,-831.02%,6.40%,,-1.58%,0.70%,-13.00%,,0.66%,-1.44%,,0.01,5,,,6.05000,8162188,18.57,25.17,31.72,0.57
WEST,55310000,1.48%,-528522000,583832000,,20.01%,39.60%,,-92.94%,-83.90%,-5.18%,-13.46%,-7.60%,,604209,-7.21%,,-56782,0.81,2,4.45,0.61,5.98000,329170,42.46,39.42,36.55,-0.89
SIBN,150042000,-2.74%,112559000,37483000,-11.39%,-2.53%,-3.87%,-0.90%,20.07%,-18.70%,-13.51%,-26.21%,-13.70%,-35.34%,479020,-17.24%,-24.84%,-88576,0.74,4,1.48,3.95,13.25000,382821,35.81,41.72,42.65,-0.75
SHLS,23511000,,-118239000,141750000,,-16.90%,-21.88%,40.32%,-21.87%,4.40%,7.26%,12.00%,3.00%,-13.04%,309464,4.67%,10.10%,18703,0.50,6,4.73,2.43,3.36000,5702671,45.98,36.81,29.55,0.14
BZH,119467000,4.38%,-971393000,1090860000,,0.68%,9.86%,-2.26%,-169.93%,10.10%,,6.91%,4.70%,16.28%,2083188,4.69%,6.22%,104989,0.94,4,0.97,,18.38000,468257,36.97,31.45,41.16,3.93
HKD,75241000,292.89%,-182357000,257598000,,,,,-20.88%,21.90%,16.33%,8.74%,8.50%,14.24%,104311,16.41%,6.64%,226750,0.04,2,,,1.78000,179808,32.90,29.60,1.15,0.23
TRTX,190483000,3.23%,-2378340000,2568823000,,-11.52%,-15.48%,-9.92%,-425.52%,5.30%,,2.29%,1.60%,-3.64%,,2.13%,-0.80%,,0.04,5,,,6.90000,1472138,24.44,28.64,40.21,0.75
UP,246468000,64.49%,-226351000,472819000,,60.16%,40.35%,13.02%,-40.49%,,-113.43%,-64.77%,-30.40%,-68.70%,424493,-95.60%,-22.84%,-182012,0.71,2,42.57,-3.00,0.79960,945023,36.20,27.23,24.52,-0.49
XNCR,498162000,-3.94%,266209000,231953000,-22.20%,89.72%,-7.93%,84.90%,47.70%,-36.70%,-22.48%,-10.40%,-25.20%,-12.64%,441972,-19.61%,-9.36%,-930472,0.12,2,,0.23,7.92000,1221297,25.64,20.22,32.90,-3.58
OPY,33150000,0.02%,-1422916000,1456066000,,25.60%,50.42%,14.48%,-249.08%,8.70%,,6.59%,2.20%,11.42%,474651,5.67%,2.98%,23710,0.43,3,,,52.95000,31450,37.43,41.61,55.13,6.37
CLB,19157000,-7.63%,-160987000,180144000,,-10.38%,-16.36%,-13.95%,-29.27%,12.90%,11.73%,2.81%,5.30%,-18.42%,149671,9.36%,0.44%,8971,0.88,6,6.42,2.82,11.89000,926624,35.20,32.20,36.87,0.67
BFLY,88775000,-3.01%,68377000,20398000,-38.73%,-9.69%,-10.67%,,12.37%,-38.70%,-34.28%,-28.33%,-26.90%,-10.00%,431874,-39.32%,-40.10%,-381537,0.30,3,0.46,-0.51,2.29000,4266285,40.01,42.31,47.09,-0.34
HTB,279219000,-26.65%,81099000,198120000,,60.41%,-55.36%,-14.55%,14.42%,10.30%,,6.10%,1.20%,7.80%,345611,7.31%,0.86%,97345,0.04,3,,,31.96000,51194,35.76,0.00,0.00,3.20
CTLP,33667000,-0.72%,-3345000,37012000,,29.29%,-21.73%,15.37%,-0.60%,8.00%,9.12%,-6.75%,4.70%,,794184,7.31%,,41309,0.90,8,4.32,3.05,7.61000,383663,44.59,43.48,50.61,0.20
SVRA,196327000,0.25%,169708000,26619000,24.81%,1.24%,1.03%,1.17%,37.31%,-64.50%,-48.39%,-39.32%,-51.20%,-46.52%,,-52.10%,-35.88%,-1625102,,1,,,2.64000,820909,44.71,39.28,41.21,-0.48
MCB,200268000,71.90%,-277793000,478061000,,83.17%,-15.72%,15.54%,-50.39%,9.50%,,7.53%,0.90%,11.54%,923741,5.52%,1.00%,227597,0.04,4,,,49.50000,135531,37.16,39.90,48.18,5.93
BCAX,489711000,65.84%,488973000,738000,,,,,89.32%,-39.60%,-13.78%,,-18.30%,,,-16.72%,,-1236273,,1,,,10.15000,389694,36.68,35.18,0.00,-4.05
VZLA,90174045,,90174045,,590.12%,,,,15.91%,-1.50%,-1.32%,-18.83%,-1.50%,-30.52%,,-6.18%,-29.74%,-51204,,1,,,1.96000,188051,44.51,49.78,0.00,-0.01
WLDN,74158000,-2.60%,-33589000,107747000,,-3.05%,-5.56%,-7.00%,-6.22%,10.30%,10.54%,0.49%,5.20%,-0.46%,321294,7.75%,-0.02%,12817,1.30,8,,3.23,38.31000,83261,45.79,50.31,56.80,1.58
CSTL,293130000,-1.48%,266786000,26344000,17.13%,48.29%,71.79%,0.95%,47.46%,4.20%,4.60%,-9.68%,3.70%,-7.94%,436359,1.52%,-7.14%,23975,0.67,7,7.49,5.41,19.30000,251030,42.30,36.98,43.00,0.62
OSPN,83331000,-6.72%,76399000,6932000,108.14%,-12.02%,1.58%,-9.31%,13.95%,30.20%,20.35%,-3.69%,19.20%,-1.70%,425883,25.07%,-1.10%,99968,0.82,6,5.21,4.63,14.41000,280923,39.63,39.82,48.77,1.46
ATGL,5386235,145.48%,4946009,440226,13626.62%,,35.44%,,0.97%,-15.50%,-81.59%,,-10.90%,,68866,-11.36%,,-30590,0.25,3,,291.28,33.27430,3182,58.05,63.30,69.99,-0.05
NOAH,721136373,-2.48%,710783649,10352724,-12.42%,-16.69%,-1.06%,-26.90%,627.32%,4.70%,56.18%,10.36%,3.90%,6.56%,137940,4.19%,5.12%,25215,0.21,3,,1.93,8.27000,183109,30.03,33.23,37.16,0.92
CTO,17361000,-1.49%,-501632000,518993000,,23.09%,4.77%,12.56%,-88.91%,-1.60%,,4.17%,-0.80%,6.34%,3365378,,2.90%,-237270,0.11,4,,,17.16000,293157,33.11,36.22,44.13,-0.35
TBLD,,,,,,,,,,-23.46%,-21.69%,,-23.35%,,,-23.46%,,,-0.23,0,,2441.46,17.03000,87994,36.98,46.85,49.91,3.69
AMRK,229069000,-11.75%,-555882000,784951000,,24.23%,-4.26%,17.40%,-110.52%,8.50%,10.76%,9.84%,2.80%,35.92%,21662673,3.27%,8.66%,105307,5.73,5,9.05,6.80,22.11500,279560,35.53,32.80,40.67,2.23
SNCY,204524000,-7.83%,-414510000,619034000,,4.30%,-11.28%,6.27%,-73.49%,9.60%,9.43%,5.87%,3.30%,8.64%,342483,6.78%,2.96%,16843,0.66,5,80.44,1.22,10.39000,740491,37.66,33.27,38.23,0.96
CAL,29636000,-4.15%,-796910000,826546000,,-1.75%,10.52%,-7.65%,-149.96%,18.10%,13.22%,2.41%,5.50%,-5.60%,289647,8.27%,2.08%,11410,1.41,6,2.71,2.32,16.23000,1392352,44.82,30.66,36.88,3.09
CYD,825684736,,462484927,363199809,,-10.43%,25.61%,55.74%,78.72%,3.10%,-0.86%,5.61%,1.10%,4.36%,311278,3.37%,1.60%,4925,0.72,1,4.05,1.68,14.51000,321453,40.04,51.86,57.82,0.99
CEVA,163644000,6.98%,158083000,5561000,-1.25%,-12.86%,-13.86%,-12.21%,28.93%,-3.30%,-0.99%,-1.18%,-2.90%,-3.48%,249857,-2.77%,-2.98%,-20528,0.35,4,,8.82,22.85000,297819,37.78,36.41,44.69,-0.37
SLQT,12104000,4.31%,-728277000,740381000,,-0.42%,2.27%,,-128.59%,-4.40%,7.65%,0.29%,-1.10%,-9.18%,339455,,-1.72%,-3210,1.20,4,,1.59,3.16000,1946327,40.41,46.86,47.52,-0.09
OFIX,85738000,27.96%,-89867000,175605000,,98.42%,54.59%,52.96%,-16.50%,-23.50%,-13.01%,-7.94%,-14.20%,-12.70%,494735,-12.47%,-8.46%,-77968,0.90,3,1.23,1.31,13.92000,279601,30.67,32.60,41.84,-3.30
ZIP,505881000,-0.19%,-46840000,552721000,,179.60%,-0.54%,71.79%,-8.63%,-80.20%,3.97%,923.79%,-1.90%,-138.82%,474001,,10.40%,-12854,0.72,4,,2.13,5.51000,1213067,43.67,34.22,29.53,-0.13
JFIN,92672773,-4.73%,85607765,7065008,92.87%,13.61%,7.75%,7.97%,126.42%,37.70%,,130.91%,19.80%,-6.86%,859094,32.02%,40.78%,156457,1.09,3,,,10.23000,80464,42.39,56.17,61.68,2.72
CURV,48922000,-2.21%,-414617000,463539000,,-7.94%,-9.21%,-4.50%,-79.43%,-8.50%,25.40%,6.81%,3.30%,-9.46%,144847,15.86%,2.78%,2141,2.27,7,4.75,2.07,5.17000,124161,45.54,46.77,43.53,0.15
CCAP,39422000,2.17%,-836415000,875837000,,11.55%,3.68%,22.15%,-157.65%,9.80%,,4.80%,4.50%,9.64%,,5.49%,4.72%,,0.12,4,,,14.61000,231134,28.32,25.51,38.61,1.99
NCMI,78200000,-55.16%,68200000,10000000,147.10%,-79.11%,,-59.58%,12.61%,-5.60%,-4.12%,-2.91%,-4.10%,197.58%,948031,-4.63%,25.94%,-87795,0.45,3,,3.28,5.68000,828071,43.74,43.26,41.42,-0.23
OMI,49382000,-1.53%,-2090426000,2139808000,,24.46%,-7.76%,5.65%,-377.39%,-45.40%,-7.68%,4.89%,-7.20%,-3.18%,461245,-7.68%,-0.08%,-15633,2.11,6,7.56,2.27,7.00000,2060326,29.01,32.98,34.29,-4.73
NEXN,187068000,2.83%,149871000,37197000,52.66%,35.37%,-72.68%,,28.01%,6.70%,8.56%,3.75%,4.30%,4.72%,427959,6.61%,3.16%,41495,0.44,6,,2.12,8.52000,445569,54.86,50.95,49.80,1.02
IMNM,217403000,93.55%,212634000,4769000,55.32%,,255.90%,53.26%,42.24%,-125.30%,-157.56%,-111.59%,-105.30%,-244.82%,76619,-164.47%,-91.18%,-2482737,0.03,1,,-1.04,6.20000,1179837,33.51,29.22,41.39,-5.00
MOFG,204895000,-77.83%,88333000,116562000,,-29.75%,-72.48%,-20.67%,16.52%,-11.00%,,0.89%,-0.90%,4.00%,79931,-12.42%,0.34%,-79642,0.01,2,,,25.89000,78074,33.29,37.51,47.87,-3.54
ASIX,19564000,14.04%,-329329000,348893000,,8.69%,31.16%,-4.24%,-61.02%,5.90%,4.60%,10.24%,2.90%,14.82%,1046591,5.08%,6.60%,30448,1.00,4,6.43,2.04,20.13000,199597,34.16,29.15,39.14,1.62
GHRS,149324000,-14.87%,148700000,624000,-7.40%,,-35.93%,,28.45%,-20.10%,-21.33%,-14.46%,-19.20%,-12.64%,,-28.02%,-12.18%,-779220,,0,,,8.66000,101442,33.15,45.20,46.73,-0.75
MVST,117158000,25.43%,-208692000,325850000,,30.27%,60.70%,16.76%,-38.54%,-41.70%,-29.88%,-12.27%,-19.80%,-34.40%,197710,-16.26%,-21.08%,-101748,0.38,5,1.78,-1.15,1.66000,7840126,57.23,56.33,49.95,-0.61
AMRC,178222000,-1.60%,-1525056000,1703278000,,50.71%,10.02%,35.63%,-283.46%,6.00%,3.41%,6.94%,1.40%,9.58%,1172915,6.14%,2.74%,37612,0.45,6,120.18,0.96,10.22000,681332,36.40,29.38,36.35,1.07
FSBC,352343000,-0.26%,271591000,80752000,276.04%,41.69%,-67.62%,8.68%,51.73%,12.50%,,13.43%,1.20%,19.84%,567686,9.57%,1.60%,217481,0.03,4,,,25.15000,63796,27.84,32.60,46.17,2.26
SSTK,111251000,-0.95%,-189818000,301069000,,101.20%,406.82%,44.79%,-35.50%,6.80%,10.69%,12.70%,3.10%,17.00%,545342,4.82%,9.10%,20952,0.80,3,,1.33,15.34000,499605,30.96,21.28,25.28,1.01
FLGT,258106000,,257694000,412000,-39.08%,-73.15%,-65.17%,-31.22%,47.56%,-3.80%,-4.45%,13.34%,-3.50%,27.66%,215895,-6.52%,22.88%,-32527,0.23,5,,4.63,17.33000,373271,53.64,45.97,36.98,-1.41
HOV,102707000,0.92%,-1034906000,1137613000,,-9.19%,-0.98%,-8.95%,-194.94%,31.80%,,23.19%,9.40%,-938.50%,1642356,14.01%,11.32%,125463,1.23,6,1.56,,90.13000,100756,37.88,32.55,42.02,32.63
MAGN,215000000,5164.10%,-1838000000,2053000000,,37.64%,138.63%,41.66%,-344.07%,-12.80%,-1.08%,-0.65%,-4.80%,-16.30%,38427,-1.09%,-3.20%,-2679,0.69,3,3.75,0.72,15.10000,488670,36.50,34.43,34.24,-18.33
SMBC,146078000,0.01%,826000,145252000,-98.98%,41.01%,6.67%,1.82%,0.15%,10.50%,,9.64%,1.10%,12.88%,227394,7.90%,1.34%,70774,0.04,4,,,47.30000,24707,33.97,35.28,47.95,4.59
REPL,538239000,-0.11%,462198000,76041000,17.85%,31.95%,0.30%,12.58%,84.65%,-54.80%,-39.56%,-29.49%,-43.00%,-32.98%,,-43.17%,-28.06%,-689553,,1,,,6.92000,1076014,20.70,31.45,38.76,-3.07
HNRG,12153000,-30.72%,-44997000,57150000,,-19.06%,-51.97%,-19.93%,-8.45%,-88.40%,-102.53%,-22.44%,-42.50%,-13.32%,657551,-135.17%,-6.68%,-367704,0.76,5,4.51,-0.16,12.50000,837134,57.75,56.32,60.02,-5.72
TRST,641812000,-6.00%,516872000,124940000,16.27%,-25.11%,-6.38%,-9.45%,97.89%,7.40%,,7.30%,0.80%,9.88%,214631,6.09%,0.98%,61736,0.03,4,,,27.94000,145235,37.23,36.04,44.58,2.57
LINC,59273000,3.87%,-118288000,177561000,,21.96%,52.04%,14.76%,-22.42%,5.80%,4.99%,12.77%,2.50%,29.84%,177804,2.87%,10.20%,3996,1.13,5,60.58,2.68,16.80000,273035,54.95,56.47,66.54,0.32
VLGEA,133929000,-1.19%,-224688000,358617000,,-2.81%,-5.00%,20.53%,-46.97%,11.90%,10.02%,4.03%,5.50%,9.08%,312600,5.66%,3.86%,7411,2.31,7,33.98,3.68,35.99000,36500,58.62,65.30,63.39,3.64
GLAD,1876000,-2.73%,-313885000,315761000,,7.93%,-6.68%,11.36%,-59.24%,22.30%,,7.97%,12.60%,13.74%,,8.63%,7.48%,,0.12,4,,,23.73000,176818,31.40,35.14,50.15,4.63
MBUU,35118000,-17.86%,12118000,23000000,-41.52%,-42.81%,-34.29%,-24.51%,2.34%,-16.80%,-16.64%,15.08%,-11.70%,20.82%,326218,-19.09%,10.70%,-39439,0.97,4,4.07,2.93,26.50000,189233,38.60,26.86,35.58,-4.36
ASA,4818953,,4818953,,6042.00%,,,,0.90%,8.76%,6.12%,,8.75%,5.85%,,0.44%,5.84%,,0.01,1,-70.28,873.10,27.81000,71920,48.56,59.47,64.77,6.00
PHAR,167893000,-11.62%,55580000,112313000,32.72%,-11.48%,-34.53%,2.85%,9.96%,-5.40%,-2.60%,4.16%,-2.80%,6.00%,810428,-2.59%,2.70%,-30997,0.71,3,0.63,2.22,8.09000,2336,43.77,44.36,41.94,-0.18
CASS,349728000,,349728000,,-6.11%,,,,66.24%,8.30%,,11.93%,0.80%,12.08%,159607,8.37%,1.18%,15359,0.09,6,,,39.21000,38202,37.06,40.19,45.90,1.39
CRD.A,55412000,-7.30%,-254077000,309489000,,2.35%,-0.65%,0.98%,-50.64%,17.30%,11.52%,4.33%,3.40%,11.68%,133563,9.39%,2.50%,2649,1.69,7,,2.90,10.24000,61036,40.16,42.86,50.31,0.53
RCKT,374227000,-0.56%,348729000,25498000,-0.37%,4.10%,1.82%,-11.68%,64.44%,-63.90%,-52.74%,-41.73%,-55.40%,-49.52%,,-55.90%,-42.88%,-865371,,2,,,4.94000,4579311,29.30,18.27,29.44,-2.73
SCVL,123112000,-2.16%,-244875000,367987000,,14.31%,3.85%,9.18%,-46.73%,11.80%,9.84%,10.44%,6.60%,18.14%,218706,6.78%,9.58%,13412,1.08,5,2.11,3.42,19.38000,485905,38.97,24.75,38.06,2.68
KALV,253203000,-7.21%,248865000,4338000,258.96%,-16.56%,-30.67%,36.19%,47.49%,-106.80%,-67.41%,-50.42%,-80.60%,-51.80%,,-121.38%,-45.72%,-1172460,,2,,,10.54000,494776,39.70,47.30,47.12,-3.77
MTUS,240700000,-31.05%,223600000,17100000,-12.66%,-33.97%,-30.49%,-37.75%,42.75%,0.20%,-0.60%,4.28%,0.10%,7.20%,576596,0.38%,4.26%,691,0.96,4,4.41,1.96,12.42000,315508,41.42,36.82,39.62,0.03
PRTH,73328000,13.96%,-857063000,930391000,,15.09%,45.67%,13.70%,-159.44%,,16.20%,2.38%,-1.40%,20.78%,863299,,-0.84%,-23513,0.51,6,,0.79,6.57000,292232,37.86,42.27,51.27,-0.31
PRTA,471388000,-5.66%,460545000,10843000,-24.30%,-4.18%,-8.38%,-13.92%,87.00%,-23.20%,-25.86%,-25.43%,-20.30%,-21.04%,829184,-31.05%,-15.38%,-750368,0.22,2,,2.88,9.69000,455750,25.80,32.02,31.26,-2.27
ACIC,199393000,2.27%,47050000,152343000,521.29%,-1.31%,1.95%,-0.88%,9.05%,32.80%,,5.69%,6.40%,-66.90%,4563954,21.55%,1.54%,1164892,0.25,5,,,10.79000,328033,35.10,38.44,54.06,1.54
CVLG,35619000,-6.19%,-261270000,296889000,,58.72%,1.17%,-3.17%,-50.04%,8.50%,7.36%,7.16%,3.60%,11.46%,235724,4.70%,5.70%,7484,1.15,7,165.25,2.32,19.60000,124417,34.30,25.26,43.34,1.30
KIDS,70790000,0.66%,-6125000,76915000,,39.69%,223.72%,24.04%,-1.15%,-10.30%,-8.95%,-7.71%,-8.30%,-7.64%,364283,-8.11%,-5.96%,-67299,0.45,3,0.50,2.66,21.39000,174217,36.42,38.61,36.33,-1.64
SLP,21385000,-39.70%,20589000,796000,-80.84%,-21.57%,-22.87%,4.60%,3.98%,3.90%,4.47%,5.18%,3.70%,7.56%,318073,1.59%,6.86%,29393,0.40,5,,27.12,25.74000,659391,47.93,38.08,40.07,0.35
DJCO,389361000,-0.14%,360782000,28579000,37.11%,-26.01%,-59.88%,-1.80%,71.73%,29.10%,27.85%,0.69%,20.10%,12.20%,174311,0.97%,8.30%,185871,0.19,5,206.23,5.53,374.12000,7177,43.10,35.02,47.80,55.48
UHT,7097000,0.23%,-361152000,368249000,,3.85%,2.44%,6.11%,-70.21%,10.30%,,5.70%,3.30%,20.12%,,6.72%,6.80%,,0.17,6,,,37.14000,70315,39.41,43.40,42.72,1.39
CRD.B,45196000,5.58%,-283714000,328910000,,10.28%,-8.32%,0.01%,-58.31%,15.10%,10.13%,3.23%,2.80%,9.76%,130020,8.09%,2.14%,2267,1.62,7,,2.90,10.42000,5100,43.11,44.69,52.14,0.53
ORRF,248874000,1.99%,38967000,209907000,,54.28%,17.02%,-3.42%,7.73%,5.60%,,6.85%,0.50%,10.68%,279592,3.03%,0.92%,35000,0.04,4,,,26.31000,182304,22.76,24.19,43.64,1.48
GNK,44005000,20.47%,-45212000,89217000,,-28.71%,-54.07%,-28.99%,-8.79%,8.30%,8.83%,4.60%,7.10%,3.60%,407923,8.57%,3.54%,73675,0.40,7,9.70,2.40,11.99000,853343,38.36,26.85,38.52,1.75
PLOW,5119000,-23.00%,-216351000,221470000,,-2.63%,-13.73%,-4.14%,-42.21%,22.90%,17.15%,5.12%,9.20%,5.06%,339811,13.88%,2.14%,33563,0.93,7,2.99,2.96,22.19000,169173,35.16,37.36,41.89,2.36
THFF,94346000,87.41%,-120831000,215177000,,25.33%,22.40%,14.14%,-23.62%,8.70%,,8.55%,0.90%,10.78%,215146,6.19%,1.18%,50454,0.04,4,,,43.17000,65751,29.84,40.28,49.71,4.00
MAX,43266000,-1.34%,-119179000,162445000,,-4.55%,-6.80%,10.74%,-23.24%,-134.50%,24.99%,8.18%,7.80%,542.52%,6004889,23.93%,-9.60%,115479,4.07,7,,2.26,7.63000,508342,31.19,31.65,37.93,0.31
IMOS,379197843,,-107918483,487116326,,,64.13%,,-20.75%,8.00%,-1.28%,7.85%,4.30%,13.86%,122181,3.88%,7.84%,11257,0.47,6,8.21,1.96,13.71000,29664,24.04,23.66,28.95,1.74
LENZ,209144000,-14.59%,208330000,814000,217.57%,-58.36%,323.96%,-18.07%,40.80%,-24.60%,-24.29%,4.01%,-23.20%,14.96%,,-28.60%,-141.72%,,,1,,,18.54000,175108,32.13,36.78,34.93,-2.34
TRVI,107622000,-7.28%,106590000,1032000,30.57%,-58.79%,-22.87%,23.72%,20.88%,-64.50%,-47.75%,-59.45%,-57.70%,-83.64%,,-51.18%,-54.44%,-1842731,,1,,,5.28000,1209903,35.95,54.72,60.18,-0.47
IIIN,35951000,,35951000,,-58.01%,,,,7.09%,5.60%,7.07%,14.45%,4.70%,16.60%,578249,4.78%,13.12%,20726,1.31,5,5.02,6.91,26.27000,489930,45.76,42.71,42.01,0.99
SPFI,359082000,0.04%,248728000,110354000,13.06%,-3.33%,0.17%,-11.65%,48.83%,11.60%,,10.51%,1.20%,14.40%,318117,9.05%,1.42%,82862,0.05,4,,,30.95000,34900,37.10,40.65,52.02,2.92
DHC,149854000,-1.17%,-2761050000,2910904000,,-7.49%,3.34%,-3.63%,-533.59%,-17.60%,,1.23%,-7.00%,-5.68%,2492378,-2.97%,-2.44%,-617092,0.28,4,,,2.11000,916652,39.00,40.50,45.52,-1.55
GES,142322000,4.80%,-1330702000,1473024000,,7.78%,16.98%,3.39%,-261.48%,17.20%,8.84%,7.89%,3.50%,19.78%,246173,7.34%,4.36%,7858,1.08,5,2.68,2.20,9.89000,1654400,44.42,31.69,34.25,1.27
PUMP,58292000,2.03%,-117124000,175416000,,622.04%,18.06%,5.54%,-22.96%,-15.20%,-16.12%,-6.37%,-9.90%,-4.90%,760151,-16.84%,-3.62%,-72557,1.04,4,62.92,1.49,4.93000,1464883,29.41,31.26,37.02,-1.31
VALN,188230385,7.49%,-53740479,241970865,,23.57%,3.59%,,-10.49%,-6.50%,3.14%,-20.63%,-2.50%,-55.48%,247749,,-14.32%,-17892,0.34,3,2.01,0.12,6.31000,8553,44.45,51.14,42.50,-0.17
HTBK,968123000,0.10%,928470000,39653000,151.87%,-0.23%,0.38%,-0.12%,183.58%,5.90%,,7.54%,0.70%,8.16%,479597,5.56%,0.96%,114163,0.03,3,,,8.25000,501667,31.64,37.62,44.55,0.66
INN,48358000,4.45%,-1373223000,1421581000,,9.36%,-2.40%,6.54%,-307.84%,2.70%,,0.40%,0.90%,-5.22%,8609212,5.55%,-2.20%,295776,0.25,6,,,4.04000,1325115,27.90,20.00,30.51,0.22
MCS,44579000,-4.26%,-308053000,352632000,,-11.87%,-6.97%,-6.18%,-62.80%,-1.70%,0.09%,-3.08%,-0.70%,-6.68%,253031,,-2.64%,-2679,0.71,5,,1.47,15.98000,177378,40.94,40.02,48.60,-0.25
NPWR,510020000,-1.99%,506915000,3105000,-20.14%,-23.76%,44.08%,,281.71%,-23.40%,-9.08%,,-7.00%,,3676,-27.53%,,-2421235,,1,,0.71,2.33000,715857,28.33,24.90,32.97,-0.67
OLP,42315000,-1.35%,-389992000,432307000,,1.11%,0.90%,-1.20%,-77.01%,9.90%,,4.46%,4.00%,11.06%,9056300,4.31%,4.40%,3041700,0.12,5,,,23.46000,57960,32.36,36.50,47.21,1.40
TK,721446000,-0.76%,667855000,53591000,52.67%,-62.36%,-75.18%,-59.39%,133.35%,17.10%,7.01%,-61.49%,6.10%,7.28%,,-111.68%,3.20%,57412,,5,14.78,,6.06000,858642,40.20,36.50,44.18,1.42
WASH,109902000,-12.98%,-1067357000,1177259000,,81.56%,-5.42%,-0.27%,-213.63%,-5.80%,,4.42%,-0.40%,9.42%,158982,-2.31%,0.78%,-45369,0.01,2,,,26.20000,224940,31.28,35.25,40.89,-1.63
EVLV,56455000,-13.85%,54135000,2320000,-65.08%,-63.61%,55.39%,,10.96%,-12.80%,-10.06%,-8.89%,-6.60%,,304505,-55.83%,,-65096,0.31,2,3.50,1.33,3.20000,1332914,51.15,46.65,44.74,-0.14
FRPH,149935000,0.02%,-28918000,178853000,,0.08%,0.08%,15.00%,-5.76%,1.50%,,1.04%,0.90%,2.88%,2198632,1.48%,1.80%,336053,0.06,6,,,26.41000,83037,36.13,36.54,43.47,0.34
TLRY,248414000,-7.99%,-95496000,343910000,,-22.29%,-28.59%,-6.32%,-19.07%,-28.90%,-29.86%,-12.44%,-23.60%,,311946,-27.79%,,-358411,0.21,5,2.25,-1.56,0.50540,27983614,33.71,22.11,36.83,-1.05
RDVT,36504000,-7.03%,34506000,1998000,17.11%,1.55%,-22.20%,-7.50%,6.90%,8.00%,10.56%,0.29%,7.30%,2.22%,349716,6.71%,2.30%,32572,0.78,6,,26.72,36.04000,109215,44.83,51.82,64.28,0.50
DNTH,275241000,379.42%,273750000,1491000,58.12%,,154.87%,,54.62%,-23.90%,-23.90%,-17.40%,-23.00%,-36.14%,79936,-28.78%,-31.22%,-1089346,0.02,2,,13.42,15.60000,873836,33.69,33.23,44.71,-2.55
BVS,41582000,-12.50%,-294045000,335627000,,-2.10%,-15.00%,11.14%,-59.18%,-21.70%,-0.01%,-10.09%,-4.40%,-25.72%,616430,-9.86%,-5.92%,-36067,0.74,6,2.01,0.76,7.57000,292007,32.27,34.53,48.80,-0.52
